,Original URL,Tweets,Final URL,HTTP Status
58,http://my.earthlink.com/article/int?guid=20170813/163d6bf5-e47d-47bc-9b49-87c138634cc2,1,http://my.earthlink.com/article/int?guid=20170813/163d6bf5-e47d-47bc-9b49-87c138634cc2,200
59,https://en.wikipedia.org/wiki/Talk:White_Helmets_(Syrian_Civil_War),0,https://en.wikipedia.org/wiki/Talk:White_Helmets_(Syrian_Civil_War),200
60,https://sputniknews.com/middleeast/201706301055119172-opcw-sarin-russia/,3,https://sputniknews.com/middleeast/201706301055119172-opcw-sarin-russia/,200
61,http://www.1clickdaily.com/1131481,1,http://www.1clickdaily.com/1131481,404
62,http://www.nationalist.ie/poll/what-s-on/233690/who-should-win-the-tipperary-peace-prize-2017.html,2,https://www.tipperarylive.ie/poll/what-s-on/233690/who-should-win-the-tipperary-peace-prize-2017.html,200
63,http://www.wrongkindofgreen.org/2017/09/06/investigation-white-helmets-committing-acts-of-terror-across-syria/,7,http://www.wrongkindofgreen.org/2017/09/06/investigation-white-helmets-committing-acts-of-terror-across-syria/,403
64,http://clasos.com.mx/login/acceso/276871,1,http://clasos.com.mx/login/acceso/276871,200
65,https://www.rt.com/news/381542-white-helmets-al-qaeda-members/,2,https://www.rt.com/news/381542-white-helmets-al-qaeda-members/,200
66,http://www.fundmycause.net/Pesamob/,4,http://www.fundmycause.net/Pesamob/,403
67,https://talesfromtheloublog.wordpress.com/2017/06/08/father-of-famous-aleppo-boy-just-exposed-how-the-us-and-white-helmets-lied-to-the-world/,3,https://talesfromtheloublog.wordpress.com/2017/06/08/father-of-famous-aleppo-boy-just-exposed-how-the-us-and-white-helmets-lied-to-the-world/,200
68,https://lzomedia.com/,1,https://lzomedia.com/,200
69,https://uprootedpalestinians.wordpress.com/2017/06/22/oscar-winning-nobel-prize-nominated-white-helmets-graduate-to-beheadings/,8,https://uprootedpalestinians.wordpress.com/2017/06/22/oscar-winning-nobel-prize-nominated-white-helmets-graduate-to-beheadings/,200
70,https://www.sharjah24.ae/en/arabic/243962-,1,https://www.sharjah24.ae/en/arabic/243962-,403
71,http://www.blacklistednews.com/John_Pilger%3A_The_White_Helmets_Are_A_%E2%80%9CComplete_Propaganda_Construct%E2%80%9D/58726/0/38/38/Y/M.html,3,https://www.blacklistednews.com/John_Pilger%3A_The_White_Helmets_Are_A_%E2%80%9CComplete_Propaganda_Construct%E2%80%9D/58726/0/38/38/Y/M.html,200
72,http://www.middleeasteye.net/in-depth/features/we-have-lost-best-men-town-lives-syrias-murdered-aid-workers-1594734868#sthash.cegXuKTq.uxfs,279,https://www.middleeasteye.net/features/syrias-murdered-white-helmets-we-have-lost-best-men-town#sthash.cegXuKTq.uxfs,200
73,http://english.alarabiya.net/en/News/middle-east/2017/08/12/Seven-White-Helmets-medics-killed-in-Syria-s-Idlib.html,1,https://english.alarabiya.net/en/News/middle-east/2017/08/12/Seven-White-Helmets-medics-killed-in-Syria-s-Idlib.html,200
74,http://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,38,https://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,200
75,http://altnews.top/,3,http://altnews.top/,406
76,https://urs17982.wordpress.com/2017/07/06/wem-leistet-israel-in-syrien-direkte-militaerhilfe-auch-durch-die-luftwaffe-daraa-kriegsverbrecher/,5,https://urs17982.wordpress.com/2017/07/06/wem-leistet-israel-in-syrien-direkte-militaerhilfe-auch-durch-die-luftwaffe-daraa-kriegsverbrecher/,200
77,http://www.telegraph.co.uk/news/2017/09/01/old-fashioned-white-helmets-display-team-wound-army-looks-promote/,66,https://www.telegraph.co.uk/news/2017/09/01/old-fashioned-white-helmets-display-team-wound-army-looks-promote/,200
78,http://aa.com.tr/en/middle-east/syrian-regime-strikes-de-escalation-zone-white-helmet/874181,7,http://aa.com.tr/en/middle-east/syrian-regime-strikes-de-escalation-zone-white-helmet/874181,404
79,http://russia-insider.com/en/politics/fraud-white-helmets/ri20286,76,https://russia-insider.com/en/politics/fraud-white-helmets/ri20286,200
80,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNG6bbdf5cWbqi0Lvz2cpG84C76a_w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779537675857&ei=0VhMWfCoAoyhhgHkuaXIBg&url=http%3A%2F%2Fwww.newsweek.com%2Foscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407,1,https://news.google.com/topstories?sa=t&fd=R&ct2=us&usg=AFQjCNG6bbdf5cWbqi0Lvz2cpG84C76a_w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779537675857&ei=0VhMWfCoAoyhhgHkuaXIBg&url=http://www.newsweek.com/oscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407&hl=en-US&gl=US&ceid=US:en,200
81,https://www.therussophile.org/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4.html/,1,https://therussophile.org/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4.html/,404
82,http://www.theonlycolors.com/2017/6/14/15800264/go-white-msu-drops-new-uniform-look,2,https://www.theonlycolors.com/2017/6/14/15800264/go-white-msu-drops-new-uniform-look,200
83,http://www.mirror.co.uk/news/world-news/white-helmets-hero-who-rescued-10977334?ICID=FB_mirror_main,2,https://www.mirror.co.uk/news/world-news/white-helmets-hero-who-rescued-10977334?ICID=FB_mirror_main,403
84,https://www.irishtimes.com/news/social-affairs/syria-civil-defence-to-be-honoured-with-award-in-tipperary-1.3182636,40,https://www.irishtimes.com/news/social-affairs/syria-civil-defence-to-be-honoured-with-award-in-tipperary-1.3182636,200
85,http://sinkers.org/stage/?p=2270#.WU-xFCbsPUI.twitter,1,http://sinkers.org/stage/?p=2270#.WU-xFCbsPUI.twitter,200
86,https://www.linkedin.com/slink?code=dZKYDZ4,1,https://www.linkedin.com/slink?code=dZKYDZ4,404
87,http://thefreethoughtproject.com/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,157,http://thefreethoughtproject.com/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,200
88,https://worldaffairs.blog/2017/06/21/white-helmets-exposed-in-pics-and-videos/,14,https://worldaffairs.blog/2017/06/21/white-helmets-exposed-in-pics-and-videos/,200
89,https://m.kiblat.net/2017/05/31/tak-banyak-diketahui-ini-satu-aktivitas-relawan-white-helmets-di-suriah/,6,https://www.kiblat.net/2017/05/31/tak-banyak-diketahui-ini-satu-aktivitas-relawan-white-helmets-di-suriah/,200
90,http://en.farsnews.com/newstext.aspx?nn=13960402000765,1,http://en.farsnews.com/newstext.aspx?nn=13960402000765,404
91,http://feeds.feedburner.com/~r/yahoo/gtty/~3/isDcB-eX-G8/seven-members-syria-apos-white-130042290.html,2,https://www.yahoo.com/news/seven-members-syria-apos-white-130042290.html,200
