,Domain,Users
0,davidicke.com,14
1,dcclothesline.com,14
2,off-guardian.org,0
3,beforeitsnews.com,4
4,rubikon.news,10
5,theduran.com,0
6,sott.net,0
7,worldtruth.tv,47
8,globalresearch.ca,0
9,gellerreport.com,5
10,ukcolumn.org,41
11,ronpaulinstitute.org,165
12,collective-evolution.com,69
13,intellihub.com,19
14,breitbart.com,29
15,activistpost.com,20
16,humansarefree.com,1
17,presstv.com,967
18,infowars.com,10
19,21stcenturywire.com,27
20,thewashingtonstandard.com,16
