,Domain
0,breitbart.com
1,dcclothesline.com
2,beforeitsnews.com
3,activistpost.com
4,worldtruth.tv
5,presstv.com
6,globalresearch.ca
7,intellihub.com
8,infowars.com
9,21stcenturywire.com
