,Domain
0,breitbart.com
1,dcclothesline.com
2,beforeitsnews.com
3,activistpost.com
4,worldtruth.tv
5,zerohedge.com
6,presstv.com
7,wakingtimes.com
8,globalresearch.ca
9,infowars.com
10,intellihub.com
11,21stcenturywire.com
