,Domain,Tweets
0,davidicke.com,17
1,dcclothesline.com,16
2,off-guardian.org,0
3,beforeitsnews.com,5
4,rubikon.news,12
5,theduran.com,0
6,sott.net,0
7,worldtruth.tv,64
8,globalresearch.ca,0
9,gellerreport.com,6
10,ukcolumn.org,48
11,ronpaulinstitute.org,214
12,collective-evolution.com,82
13,intellihub.com,25
14,breitbart.com,29
15,activistpost.com,20
16,humansarefree.com,1
17,presstv.com,2730
18,infowars.com,13
19,21stcenturywire.com,35
20,thewashingtonstandard.com,82
